LNR,RESPONSE
1754,0.019767724148225963
1770,0.019606474846528613
1465,0.009392574749029674
1470,0.009966016288217295
1478,0.010008308813059814
1782,0.00940431180099493
1485,0.009365529928697497
1519,0.019606474846528613
1835,0.019386515666948635
1522,0.009912780067023392
1539,0.01020758273690504
1853,0.01845985623429297
1856,0.018380272726078388
2502,0.009438981252051604
2182,0.020635896631776608
2191,0.01845985623429297
2522,0.01897158734144466
2530,0.019606474846528613
2215,0.009447793118772564
2550,0.019606474846528613
2570,0.009438981252051604
2574,0.009426502727106264
2579,0.009438981252051604
2247,0.019767724148225963
2674,0.00933968487360192
11434,0.009989519276724434
11122,0.019606474846528613
11127,0.019386515666948635
11443,0.019606474846528613
11170,0.013827277976432092
11191,0.009995825549156614
11198,0.019767724148225963
10936,0.01075271253951565
11244,0.009546718922965925
11247,0.017160598848591356
11252,0.009438981252051604
11259,0.011182069632434673
10945,0.009426502727106264
10951,0.009351356457776027
11271,0.018252521137993555
10963,0.019767724148225963
11282,0.009728886688941072
11291,0.015249525876005803
10980,0.009447793118772564
10994,0.010024906864319625
10998,0.01075271253951565
11303,0.018380272726078388
11630,0.009911826699557215
11636,0.009911826699557215
11949,0.009989519276724434
11950,0.020404629038061596
11956,0.0186118544360024
11648,0.013827277976432092
11653,0.018252521137993555
11967,0.009447793118772564
11972,0.00940431180099493
11975,0.009447793118772564
12110,0.009989519276724434
12113,0.019767724148225963
11712,0.009911826699557215
11716,0.01075271253951565
12000,0.010091432559330791
11722,0.019386515666948635
12023,0.01075271253951565
12046,0.009353147591009801
11762,0.01075271253951565
12071,0.009426502727106264
12077,0.009353147591009801
11785,0.0186118544360024
11788,0.009649079207640899
11790,0.009447793118772564
11800,0.019386515666948635
11806,0.010150150550710295
11816,0.010249102205714481
11505,0.009441581415006983
11837,0.009447793118772564
11531,0.019606474846528613
11848,0.009438981252051604
11854,0.009447793118772564
11877,0.010150150550710295
11563,0.009426502727106264
11567,0.009438981252051604
11894,0.009365529928697497
11906,0.009426502727106264
11917,0.012596049442843087
11610,0.013131883772226334
11923,0.009441581415006983
12596,0.009989519276724434
12603,0.009392574749029674
12608,0.010437688862367596
12633,0.00945991490250243
12637,0.009441581415006983
21484,0.013827277976432092
21184,0.009426502727106264
21247,0.009426502727106264
20991,0.017160598848591356
21018,0.009365529928697497
21019,0.019606474846528613
21047,0.009353147591009801
21054,0.009353147591009801
21374,0.010220368603295733
21392,0.009426502727106264
21713,0.009353147591009801
22019,0.009911826699557215
22025,0.0186118544360024
21722,0.019606474846528613
21728,0.009911826699557215
22039,0.01075271253951565
22044,0.009989519276724434
61900,0.009521883408829713
62548,0.017680150732265955
63176,0.009365529928697497
64473,0.019606474846528613
64779,0.019767724148225963
64780,0.009353147591009801
64784,0.009911826699557215
65105,0.013827277976432092
65431,0.0186118544360024
65433,0.019767724148225963
66055,0.01020758273690504
66071,0.013827277976432092
61280,0.019606474846528613
61281,0.01845985623429297
61284,0.00945991490250243
61597,0.009353147591009801
61606,0.010491231354546257
62235,0.0186118544360024
62240,0.009353147591009801
62241,0.009365529928697497
62555,0.01845985623429297
62557,0.01066914826370158
62565,0.009426502727106264
62566,0.019606474846528613
63515,0.009426502727106264
63524,0.019767724148225963
64797,0.009351356457776027
65116,0.013827277976432092
75249,0.009447793118772564
75253,0.0186118544360024
75575,0.013827277976432092
76212,0.010451457150653213
71422,0.009966016288217295
72059,0.018252521137993555
72060,0.009438981252051604
72383,0.009911826699557215
72386,0.009925160659508955
72700,0.010525085082434129
72715,0.009392574749029674
73028,0.0103517428073261
73346,0.009392574749029674
73658,0.009521883408829713
73662,0.01845985623429297
73666,0.01075271253951565
73668,0.01075271253951565
73985,0.021914660425661623
74299,0.009353147591009801
74310,0.01806439578159084
74312,0.019545992026915638
74619,0.009716748524749307
74620,0.00940431180099493
74627,0.009353147591009801
74938,0.00940431180099493
74952,0.010451457150653213
75911,0.009353147591009801
75913,0.009911826699557215
76221,0.010150150550710295
76227,0.00967412152509778
71448,0.009534099337526072
15887,0.009716748524749307
15498,0.009716748524749307
15504,0.01878251599205901
15507,0.00933968487360192
15521,0.009447793118772564
24403,0.009353147591009801
24100,0.019386515666948635
24436,0.009438981252051604
24440,0.009365529928697497
24442,0.011230080962417573
24148,0.009447793118772564
24149,0.009351356457776027
24155,0.009911826699557215
24458,0.009426502727106264
24169,0.019606474846528613
24477,0.02173628647701101
24479,0.00940431180099493
24486,0.0103517428073261
24190,0.019606474846528613
24515,0.01845985623429297
24214,0.018252521137993555
25183,0.01533912937748569
25207,0.00940431180099493
24889,0.019606474846528613
24890,0.009447793118772564
25226,0.01066914826370158
25232,0.016710881546947585
25244,0.009911826699557215
25339,0.009447793118772564
25355,0.019606474846528613
24958,0.009912780067023392
25277,0.009438981252051604
25286,0.01845985623429297
24988,0.013058215296369455
25298,0.009351356457776027
25309,0.01845985623429297
25315,0.00940431180099493
25014,0.013058215296369455
25322,0.009989519276724434
25333,0.0186118544360024
25025,0.015910040203130207
24726,0.009438981252051604
24735,0.011230080962417573
25055,0.009447793118772564
25056,0.010438426980249436
24746,0.01845985623429297
25061,0.00940431180099493
25067,0.009392574749029674
25074,0.009426502727106264
24773,0.010083519248292507
25080,0.01075271253951565
25086,0.019606474846528613
25088,0.009438981252051604
